Token,GroundTruth,Brown Tag
First,NOUN,NOUN
visit,VERB,VERB
to,ADP,ADP
The,DET,DET
Cavern,NOUN,NOUN
it,PRON,PRON
was,VERB,VERB
brilliant,ADJ,ADJ
would,VERB,VERB
defo,ADV,ADV
.,PUNCT,PUNCT
go,VERB,VERB
again,ADV,ADV
if,CONJ,CONJ
in,ADP,ADP
the,DET,DET
area,NOUN,NOUN
xCavern,NOUN,[]
Club,NOUN,NOUN
Liverpool,NOUN,[]
One,NUM,NUM
of,ADP,ADP
the,DET,DET
best,ADJ,ADJ
.,PUNCT,PUNCT
.,PUNCT,PUNCT
in,ADP,ADP
the,DET,DET
world,NOUN,NOUN
.,PUNCT,PUNCT
.,PUNCT,PUNCT
Spent,ADJ,ADJ
nearly,ADV,ADV
three,NUM,NUM
hours,NOUN,NOUN
there,ADV,ADV
yesterdayMagical,NOUN,[]
experience,NOUN,NOUN
spent,ADJ,ADJ
too,ADV,ADV
much,ADV,ADV
money,NOUN,NOUN
thoughFabulous,VERB,[]
books,NOUN,NOUN
",",PUNCT,PUNCT
food,NOUN,NOUN
halls,NOUN,NOUN
and,CONJ,CONJ
toys,NOUN,NOUN
.,PUNCT,PUNCT
Love,VERB,VERB
the,DET,DET
Cavern,NOUN,NOUN
Club,NOUN,NOUN
had,VERB,VERB
a,NOUN,NOUN
fabulous,ADJ,ADJ
time,NOUN,NOUN
in,ADP,ADP
there,ADV,ADV
watching,VERB,VERB
the,DET,DET
fantastic,ADJ,ADJ
Tony,NOUN,NOUN
Coburn,NOUN,[]
great,ADJ,ADJ
atmosphere,NOUN,NOUN
.,PUNCT,PUNCT
Can't,NOUN,NOUN
wait,VERB,VERB
to,ADP,ADP
visit,VERB,VERB
again,ADV,ADV
.,PUNCT,PUNCT
Cavern,NOUN,NOUN
Club,NOUN,NOUN
Liverpool,NOUN,[]
likes,NOUN,NOUN
.,PUNCT,PUNCT
Loved,VERB,VERB
it,PRON,PRON
the,DET,DET
music,NOUN,NOUN
and,CONJ,CONJ
venue,NOUN,NOUN
is,VERB,VERB
amazing,ADJ,ADJ
well,ADV,ADV
worth,NOUN,NOUN
a,NOUN,NOUN
visit,VERB,VERB
.,PUNCT,PUNCT
Will,VERB,VERB
definitely,ADV,ADV
go,VERB,VERB
again,ADP,ADP
Cavern,NOUN,[]
Club,NOUN,NOUN
Liverpool,NOUN,[]
Wonderful,ADJ,ADJ
and,CONJ,CONJ
big,ADJ,ADJ
place,NOUN,NOUN
to,ADP,ADP
shop,NOUN,NOUN
.,PUNCT,PUNCT
Busy,ADJ,ADJ
and,CONJ,CONJ
lots,NOUN,NOUN
of,ADP,ADP
different,ADJ,ADJ
places,NOUN,NOUN
to,ADP,ADP
eat,VERB,VERB
.,PUNCT,PUNCT
I,PRON,PRON
enjoy,VERB,VERB
walking,NOUN,NOUN
around,ADV,ADV
and,CONJ,CONJ
look,VERB,VERB
at,ADP,ADP
the,DET,DET
nice,ADJ,ADJ
items,NOUN,NOUN
to,ADP,ADP
buy,VERB,VERB
.,PUNCT,PUNCT
Was,VERB,VERB
travelling,NOUN,NOUN
with,ADP,ADP
a,NOUN,NOUN
5,NUM,NUM
year,NOUN,NOUN
old,ADJ,ADJ
and,CONJ,CONJ
it,PRON,PRON
was,VERB,VERB
her,PRON,PRON
first,NOUN,NOUN
experience,NOUN,NOUN
flying,NOUN,NOUN
",",PUNCT,PUNCT
staff,NOUN,NOUN
were,VERB,VERB
very,ADJ,ADJ
warm,ADJ,ADJ
at,ADP,ADP
security,NOUN,NOUN
and,CONJ,CONJ
talked,VERB,VERB
us,PRON,PRON
through,ADP,ADP
everything,PRON,PRON
and,CONJ,CONJ
even,ADJ,ADJ
reassured,VERB,VERB
her,PRON,PRON
when,CONJ,CONJ
her,PRON,PRON
teddy,NOUN,NOUN
was,VERB,VERB
being,NOUN,NOUN
scanned,VERB,[]
.,PUNCT,PUNCT
The,DET,DET
play,VERB,VERB
area,NOUN,NOUN
for,ADP,ADP
kids,NOUN,NOUN
was,VERB,VERB
a,NOUN,NOUN
lifesaver,NOUN,[]
",",PUNCT,PUNCT
I,PRON,PRON
just,ADV,ADV
wish,VERB,VERB
they,PRON,PRON
had,VERB,VERB
more,ADV,ADV
of,ADP,ADP
the,DET,DET
lying,VERB,VERB
back,VERB,VERB
seats,NOUN,NOUN
in,ADP,ADP
the,DET,DET
waiting,VERB,VERB
areas,NOUN,NOUN
.,PUNCT,PUNCT
Fuckin',VERB,[]
beautiful,ADJ,ADJ
.,PUNCT,PUNCT
Didn't,VERB,[]
have,VERB,VERB
any,PRON,PRON
trouble,VERB,VERB
about,ADV,ADV
it,PRON,PRON
.,PUNCT,PUNCT
The,DET,DET
only,ADV,ADV
thing,NOUN,NOUN
you,PRON,PRON
need,VERB,VERB
is,VERB,VERB
a,NOUN,NOUN
lot,NOUN,NOUN
of,ADP,ADP
money,NOUN,NOUN
to,ADP,ADP
buy,VERB,VERB
something,PRON,PRON
.,PUNCT,PUNCT
However,ADV,ADV
",",PUNCT,PUNCT
the,DET,DET
place,NOUN,NOUN
",",PUNCT,PUNCT
and,CONJ,CONJ
the,DET,DET
zone,NOUN,NOUN
where,ADV,ADV
it,PRON,PRON
is,VERB,VERB
situated,ADJ,ADJ
",",PUNCT,PUNCT
are,VERB,VERB
awesome,ADJ,ADJ
.,PUNCT,PUNCT
Absolutely,ADV,ADV
a,NOUN,NOUN
joke,NOUN,NOUN
.,PUNCT,PUNCT
Getting,VERB,[]
worst,ADJ,ADJ
and,CONJ,CONJ
worst,ADJ,ADJ
every,DET,DET
year,NOUN,NOUN
.,PUNCT,PUNCT
The,DET,DET
Christmas,NOUN,NOUN
grotto,NOUN,NOUN
system,NOUN,NOUN
was,VERB,VERB
an,DET,DET
absolute,ADJ,ADJ
joke,NOUN,NOUN
.,PUNCT,PUNCT
I,PRON,PRON
always,ADV,ADV
receive,VERB,VERB
'save,VERB,VERB
the,DET,DET
date',NOUN,NOUN
and,CONJ,CONJ
I,PRON,PRON
make,VERB,VERB
sure,ADJ,ADJ
I,PRON,PRON
take,VERB,VERB
the,DET,DET
morning,NOUN,NOUN
off,ADV,ADV
just,ADV,ADV
to,ADP,ADP
book,NOUN,NOUN
tickets,NOUN,NOUN
and,CONJ,CONJ
I,PRON,PRON
didn't,VERB,[]
receive,VERB,VERB
the,DET,DET
email,NOUN,NOUN
to,ADP,ADP
even,ADJ,ADJ
book,NOUN,NOUN
tickets,NOUN,NOUN
and,CONJ,CONJ
when,CONJ,CONJ
I,PRON,PRON
did,VERB,VERB
it,PRON,PRON
said,VERB,VERB
sorry,ADJ,ADJ
sold,VERB,VERB
out,ADV,ADV
so,ADV,ADV
why,ADV,ADV
said,VERB,VERB
me,NOUN,NOUN
the,DET,DET
email,NOUN,NOUN
.,PUNCT,PUNCT
What,PRON,PRON
was,VERB,VERB
the,DET,DET
point,NOUN,NOUN
in,ADP,ADP
even,ADJ,ADJ
giving,NOUN,NOUN
us,PRON,PRON
hope,VERB,VERB
.,PUNCT,PUNCT
Something,PRON,PRON
that,PRON,PRON
has,VERB,VERB
been,VERB,VERB
a,NOUN,NOUN
family,NOUN,NOUN
tradition,NOUN,NOUN
has,VERB,VERB
now,ADV,ADV
been,VERB,VERB
broken,ADJ,ADJ
.,PUNCT,PUNCT
But,CONJ,CONJ
that,PRON,PRON
ain't,VERB,[]
even,ADJ,ADJ
the,DET,DET
worst,ADJ,ADJ
of,ADP,ADP
it,PRON,PRON
.,PUNCT,PUNCT
I,PRON,PRON
rang,VERB,[]
up,ADV,ADV
to,ADP,ADP
compla,VERB,[]
.,PUNCT,PUNCT
Fabulous,ADJ,ADJ
place,NOUN,NOUN
.,PUNCT,PUNCT
Well,ADV,ADV
done,ADJ,ADJ
Harrods,NOUN,[]
your,DET,DET
Christmas,NOUN,NOUN
themes,NOUN,NOUN
vere,ADJ,[]
lovely,ADJ,ADJ
.,PUNCT,PUNCT
Nice,ADJ,ADJ
food,NOUN,NOUN
and,CONJ,CONJ
service,NOUN,NOUN
.,PUNCT,PUNCT
Will,VERB,VERB
defo,ADV,ADV
return,VERB,VERB
.,PUNCT,PUNCT
A,NOUN,NOUN
store,NOUN,NOUN
I,PRON,PRON
have,VERB,VERB
visited,VERB,VERB
many,PRON,PRON
times,ADP,ADP
",",PUNCT,PUNCT
both,PRON,PRON
whilst,CONJ,CONJ
it,PRON,PRON
is,VERB,VERB
under,ADP,ADP
this,PRON,PRON
ownership,NOUN,NOUN
and,CONJ,CONJ
the,DET,DET
previous,ADJ,ADJ
ownership,NOUN,NOUN
.,PUNCT,PUNCT
An,DET,DET
opulent,ADJ,ADJ
store,NOUN,NOUN
with,ADP,ADP
many,PRON,PRON
excessive,ADJ,ADJ
and,CONJ,CONJ
beautiful,ADJ,ADJ
wares,NOUN,NOUN
",",PUNCT,PUNCT
however,ADV,ADV
",",PUNCT,PUNCT
I,PRON,PRON
must,VERB,VERB
report,VERB,VERB
that,PRON,PRON
whilst,CONJ,CONJ
browsing,VERB,VERB
one,NUM,NUM
of,ADP,ADP
the,DET,DET
floors,NOUN,NOUN
there,ADV,ADV
were,VERB,VERB
6,NUM,NUM
members,NOUN,NOUN
of,ADP,ADP
staff,NOUN,NOUN
congregated,VERB,VERB
around,ADV,ADV
a,NOUN,NOUN
sales,NOUN,NOUN
desk,NOUN,NOUN
4,NUM,NUM
of,ADP,ADP
whom,PRON,PRON
were,VERB,VERB
engrossed,ADJ,ADJ
on,ADP,ADP
mobile,ADJ,ADJ
devices,NOUN,NOUN
both,PRON,PRON
'phones,NOUN,NOUN
and,CONJ,CONJ
tablets,NOUN,NOUN
.,PUNCT,PUNCT
Not,ADV,ADV
the,DET,DET
best,ADJ,ADJ
customer,NOUN,NOUN
experience,NOUN,NOUN
.,PUNCT,PUNCT
Back,VERB,VERB
in,ADP,ADP
the,DET,DET
70's,NOUN,NOUN
before,ADP,ADP
any,PRON,PRON
tesco,NOUN,[]
or,CONJ,CONJ
other,ADJ,ADJ
supermarket,NOUN,NOUN
were,VERB,VERB
around,ADV,ADV
knightsbridge,NOUN,[]
Harrods,NOUN,[]
was,VERB,VERB
my,DET,DET
local,NOUN,NOUN
for,ADP,ADP
food,NOUN,NOUN
shopping,NOUN,NOUN
",",PUNCT,PUNCT
also,ADV,ADV
the,DET,DET
Pet,NOUN,NOUN
department,NOUN,NOUN
bought,VERB,VERB
my,DET,DET
tropical,ADJ,ADJ
fish,VERB,VERB
etc,ADV,ADV
.,PUNCT,PUNCT
Times,ADP,ADP
have,VERB,VERB
changed,ADJ,ADJ
but,CONJ,CONJ
it,PRON,PRON
is,VERB,VERB
still,ADV,ADV
a,NOUN,NOUN
world,NOUN,NOUN
of,ADP,ADP
wonder,VERB,VERB
just,ADV,ADV
to,ADP,ADP
go,VERB,VERB
and,CONJ,CONJ
look,VERB,VERB
around,ADV,ADV
.,PUNCT,PUNCT
The,DET,DET
christmas,NOUN,NOUN
window,NOUN,NOUN
displays,VERB,VERB
are,VERB,VERB
some,ADV,ADV
if,CONJ,CONJ
the,DET,DET
best,ADJ,ADJ
.,PUNCT,PUNCT
Went,VERB,VERB
with,ADP,ADP
my,DET,DET
grandchildren,NOUN,[]
to,ADP,ADP
visit,VERB,VERB
Santa,NOUN,NOUN
and,CONJ,CONJ
get,VERB,VERB
some,ADV,ADV
bits,NOUN,NOUN
for,ADP,ADP
their,DET,DET
stockings,NOUN,NOUN
.,PUNCT,PUNCT
The,DET,DET
grotto,NOUN,NOUN
experience,NOUN,NOUN
was,VERB,VERB
amazing,ADJ,ADJ
",",PUNCT,PUNCT
best,ADJ,ADJ
one,NUM,NUM
yet,ADV,ADV
.,PUNCT,PUNCT
Just,ADV,ADV
hoping,VERB,VERB
we,PRON,PRON
can,VERB,VERB
get,VERB,VERB
booked,VERB,VERB
for,ADP,ADP
next,ADJ,ADJ
year,NOUN,NOUN
as,CONJ,CONJ
there,ADV,ADV
was,VERB,VERB
a,NOUN,NOUN
lot,NOUN,NOUN
of,ADP,ADP
disappointed,ADJ,ADJ
families,NOUN,NOUN
this,PRON,PRON
year,NOUN,NOUN
.,PUNCT,PUNCT
It,PRON,PRON
s,NOUN,NOUN
part,NOUN,NOUN
of,ADP,ADP
our,DET,DET
family,NOUN,NOUN
Christmas,NOUN,NOUN
tradition,NOUN,NOUN
well,ADV,ADV
done,ADJ,ADJ
to,ADP,ADP
all,PRON,PRON
the,DET,DET
staff,NOUN,NOUN
Beautiful,ADJ,ADJ
campus,NOUN,NOUN
.,PUNCT,PUNCT
professors,NOUN,NOUN
who,PRON,PRON
always,ADV,ADV
above,ADV,ADV
beyond,ADP,ADP
for,ADP,ADP
their,DET,DET
students,NOUN,NOUN
.,PUNCT,PUNCT
a,NOUN,NOUN
surplus,NOUN,NOUN
of,ADP,ADP
incredible,ADJ,ADJ
opportunities,NOUN,NOUN
that,PRON,PRON
have,VERB,VERB
helped,VERB,VERB
me,NOUN,NOUN
get,VERB,VERB
to,ADP,ADP
where,ADV,ADV
I,PRON,PRON
am,NOUN,NOUN
today,ADV,ADV
.,PUNCT,PUNCT
So,ADV,ADV
glad,ADJ,ADJ
I,PRON,PRON
went,VERB,VERB
to,ADP,ADP
Harvard,NOUN,[]
.,PUNCT,PUNCT
10,NUM,NUM
10,NUM,NUM
WOULD,VERB,VERB
RECOMMEND,VERB,VERB
.,PUNCT,PUNCT
Went,VERB,VERB
with,ADP,ADP
my,DET,DET
kids,NOUN,NOUN
to,ADP,ADP
buy,VERB,VERB
birthday,NOUN,NOUN
cake,NOUN,NOUN
amazing,ADJ,ADJ
food,NOUN,NOUN
halls,NOUN,NOUN
Loved,VERB,VERB
every,DET,DET
minute,NOUN,NOUN
in,ADP,ADP
there,ADV,ADV
.,PUNCT,PUNCT
Like,ADP,ADP
another,PRON,PRON
world,NOUN,NOUN
.,PUNCT,PUNCT
Looking,ADV,ADV
forward,ADJ,ADJ
to,ADP,ADP
another,PRON,PRON
visit,VERB,VERB
Knowing,ADJ,ADJ
how,ADV,ADV
to,ADP,ADP
bring,VERB,VERB
spiritual,NOUN,NOUN
side,NOUN,NOUN
to,ADP,ADP
work,NOUN,NOUN
daily,ADV,ADV
powerful,ADJ,ADJ
energy,NOUN,NOUN
.,PUNCT,PUNCT
I,PRON,PRON
LOVE,VERB,VERB
HARRODS,NOUN,[]
.,PUNCT,PUNCT
I,PRON,PRON
was,VERB,VERB
here,ADV,ADV
back,VERB,VERB
in,ADP,ADP
1995,NUM,NUM
.,PUNCT,PUNCT
I,PRON,PRON
actually,ADV,ADV
got,VERB,[]
lost,ADJ,ADJ
.,PUNCT,PUNCT
I,PRON,PRON
realized,ADJ,ADJ
that,PRON,PRON
after,ADP,ADP
passing,NOUN,NOUN
the,DET,DET
same,ADJ,ADJ
display,VERB,VERB
and,CONJ,CONJ
security,NOUN,NOUN
guard,NOUN,NOUN
",",PUNCT,PUNCT
who,PRON,PRON
was,VERB,VERB
starting,VERB,VERB
to,ADP,ADP
look,VERB,VERB
at,ADP,ADP
me,NOUN,NOUN
funny,ADJ,ADJ
",",PUNCT,PUNCT
about,ADV,ADV
5,NUM,NUM
times,ADP,ADP
in,ADP,ADP
a,NOUN,NOUN
row,NOUN,NOUN
.,PUNCT,PUNCT
Sorry,ADJ,ADJ
didn't,VERB,[]
have,VERB,VERB
a,NOUN,NOUN
good,ADJ,ADJ
experience,NOUN,NOUN
here,ADV,ADV
.,PUNCT,PUNCT
I,PRON,PRON
am,NOUN,NOUN
61,NUM,NUM
years,NOUN,NOUN
old,ADJ,ADJ
and,CONJ,CONJ
when,CONJ,CONJ
boarding,NOUN,NOUN
my,DET,DET
bag,VERB,VERB
was,VERB,VERB
taken,VERB,VERB
by,ADP,ADP
staff,NOUN,NOUN
and,CONJ,CONJ
tagged,VERB,[]
I,PRON,PRON
assumed,VERB,VERB
it,PRON,PRON
would,VERB,VERB
board,NOUN,NOUN
the,DET,DET
plane,NOUN,NOUN
with,ADP,ADP
me,NOUN,NOUN
how,ADV,ADV
wrong,ADJ,ADJ
I,PRON,PRON
was,VERB,VERB
.,PUNCT,PUNCT
My,DET,DET
bag,VERB,VERB
was,VERB,VERB
returned,VERB,VERB
to,ADP,ADP
me,NOUN,NOUN
2,NUM,NUM
days,NOUN,NOUN
later,ADV,ADV
by,ADP,ADP
courier,NOUN,NOUN
with,ADP,ADP
my,DET,DET
passport,NOUN,NOUN
inside,ADJ,ADJ
it,PRON,PRON
.,PUNCT,PUNCT
Thankfully,ADV,ADV
they,PRON,PRON
found,VERB,VERB
it,PRON,PRON
but,CONJ,CONJ
it,PRON,PRON
could,VERB,VERB
have,VERB,VERB
been,VERB,VERB
a,NOUN,NOUN
different,ADJ,ADJ
outcome,NOUN,NOUN
.,PUNCT,PUNCT
Unnecessary,ADJ,ADJ
stress,NOUN,NOUN
that,PRON,PRON
ruined,ADJ,ADJ
the,DET,DET
nice,ADJ,ADJ
feeling,NOUN,NOUN
I,PRON,PRON
should,VERB,VERB
have,VERB,VERB
had,VERB,VERB
at,ADP,ADP
end,NOUN,NOUN
of,ADP,ADP
my,DET,DET
break,VERB,VERB
.,PUNCT,PUNCT
Also,ADV,ADV
a,NOUN,NOUN
waste,NOUN,NOUN
of,ADP,ADP
my,DET,DET
time,NOUN,NOUN
having,VERB,[]
to,ADP,ADP
report,VERB,VERB
and,CONJ,CONJ
chase,VERB,VERB
the,DET,DET
bag,VERB,VERB
after,ADP,ADP
this,PRON,PRON
incident,NOUN,NOUN
.,PUNCT,PUNCT
This,PRON,PRON
could,VERB,VERB
have,VERB,VERB
easily,ADV,ADV
been,VERB,VERB
avoided,VERB,VERB
it,PRON,PRON
was,VERB,VERB
an,DET,DET
internal,ADJ,ADJ
flight,NOUN,NOUN
.,PUNCT,PUNCT
The,DET,DET
staff,NOUN,NOUN
were,VERB,VERB
rude,ADJ,ADJ
and,CONJ,CONJ
I,PRON,PRON
will,VERB,VERB
avoid,VERB,VERB
this,PRON,PRON
airport,NOUN,NOUN
in,ADP,ADP
future,NOUN,NOUN
.,PUNCT,PUNCT
Waited,VERB,VERB
a,NOUN,NOUN
long,ADJ,ADJ
time,NOUN,NOUN
for,ADP,ADP
the,DET,DET
email,NOUN,NOUN
to,ADP,ADP
book,NOUN,NOUN
the,DET,DET
Grotto,NOUN,NOUN
",",PUNCT,PUNCT
it,PRON,PRON
took,VERB,[]
a,NOUN,NOUN
few,PRON,PRON
attempts,VERB,VERB
and,CONJ,CONJ
refreshes,VERB,VERB
and,CONJ,CONJ
the,DET,DET
date,NOUN,NOUN
isn,VERB,VERB
t,NOUN,NOUN
what,PRON,PRON
I,PRON,PRON
wanted,ADJ,ADJ
but,CONJ,CONJ
I,PRON,PRON
managed,VERB,VERB
to,ADP,ADP
get,VERB,VERB
tickets,NOUN,NOUN
for,ADP,ADP
four,NUM,NUM
adults,NOUN,NOUN
and,CONJ,CONJ
four,NUM,NUM
children,NOUN,NOUN
",",PUNCT,PUNCT
this,PRON,PRON
was,VERB,VERB
also,ADV,ADV
after,ADP,ADP
10,NUM,NUM
30,NUM,NUM
.,PUNCT,PUNCT
This,PRON,PRON
will,VERB,VERB
be,VERB,VERB
our,DET,DET
first,NOUN,NOUN
time,NOUN,NOUN
visiting,VERB,VERB
and,CONJ,CONJ
I,PRON,PRON
hope,VERB,VERB
it,PRON,PRON
will,VERB,VERB
be,VERB,VERB
memorable,ADJ,ADJ
.,PUNCT,PUNCT
The,DET,DET
Science,NOUN,NOUN
Museum,NOUN,NOUN
of,ADP,ADP
Minnesota,NOUN,NOUN
is,VERB,VERB
an,DET,DET
invaluable,ADJ,ADJ
resource,NOUN,NOUN
to,ADP,ADP
our,DET,DET
community,NOUN,NOUN
.,PUNCT,PUNCT
Keep,VERB,VERB
up,ADV,ADV
the,DET,DET
great,ADJ,ADJ
work,NOUN,NOUN
.,PUNCT,PUNCT
Harrods,NOUN,[]
simply,ADV,ADV
has,VERB,VERB
the,DET,DET
worst,ADJ,ADJ
customer,NOUN,NOUN
service,NOUN,NOUN
of,ADP,ADP
any,PRON,PRON
department,NOUN,NOUN
store,NOUN,NOUN
.,PUNCT,PUNCT
I,PRON,PRON
ordered,ADJ,ADJ
a,NOUN,NOUN
gift,NOUN,NOUN
online,ADV,ADV
",",PUNCT,PUNCT
and,CONJ,CONJ
they,PRON,PRON
have,VERB,VERB
missed,VERB,VERB
the,DET,DET
delivery,NOUN,NOUN
date,NOUN,NOUN
",",PUNCT,PUNCT
then,ADV,ADV
NO,ADV,ADV
ONE,NUM,NUM
picks,NOUN,NOUN
up,ADV,ADV
the,DET,DET
phone,NOUN,NOUN
or,CONJ,CONJ
responds,VERB,VERB
to,ADP,ADP
emails,NOUN,NOUN
.,PUNCT,PUNCT
This,PRON,PRON
is,VERB,VERB
simply,ADV,ADV
inexcusable,ADJ,ADJ
and,CONJ,CONJ
reflects,VERB,VERB
that,PRON,PRON
they,PRON,PRON
are,VERB,VERB
stuck,ADJ,ADJ
in,ADP,ADP
the,DET,DET
past,ADP,ADP
.,PUNCT,PUNCT
The,DET,DET
Science,NOUN,NOUN
Museum,NOUN,NOUN
is,VERB,VERB
a,NOUN,NOUN
wonderful,ADJ,ADJ
experience,NOUN,NOUN
for,ADP,ADP
all,PRON,PRON
ages,NOUN,NOUN
.,PUNCT,PUNCT
There,ADV,ADV
are,VERB,VERB
so,ADV,ADV
many,PRON,PRON
hands,NOUN,NOUN
on,ADP,ADP
activities,NOUN,NOUN
to,ADP,ADP
occupy,VERB,VERB
the,DET,DET
hands,NOUN,NOUN
and,CONJ,CONJ
mind,VERB,VERB
.,PUNCT,PUNCT
I,PRON,PRON
would,VERB,VERB
recommend,VERB,VERB
this,PRON,PRON
place,NOUN,NOUN
to,ADP,ADP
anyone,PRON,PRON
",",PUNCT,PUNCT
young,ADJ,ADJ
or,CONJ,CONJ
old,ADJ,ADJ
.,PUNCT,PUNCT
