Token,BrownTags,Ground Truth
We,PRON,PRON
went,VERB,VERB
to,ADP,ADP
El,NOUN,NOUN
Toro,[],NOUN
with,ADP,ADP
a,NOUN,NOUN
u00a310,[],X
Groupon,[],NOUN
offer,VERB,VERB
.,PUNCT,PUNCT
I,PRON,PRON
had,VERB,VERB
read,VERB,VERB
some,ADV,ADV
bad,ADJ,ADJ
reviews,VERB,VERB
so,ADV,ADV
did,VERB,VERB
not,ADV,ADV
expect,VERB,VERB
too,ADV,ADV
much,ADV,ADV
",",PUNCT,PUNCT
however,ADV,ADV
i,PRON,PRON
was,VERB,VERB
pleasantly,ADJ,ADJ
surprised,ADJ,ADJ
.,PUNCT,PUNCT
The,DET,DET
steak,NOUN,NOUN
was,VERB,VERB
really,ADV,ADV
good,ADJ,ADJ
.,PUNCT,PUNCT
There,ADV,ADV
were,VERB,VERB
14,NUM,NUM
of,ADP,ADP
us,PRON,PRON
and,CONJ,CONJ
all,PRON,PRON
orders,NOUN,NOUN
were,VERB,VERB
correct,VERB,VERB
and,CONJ,CONJ
everybody,PRON,PRON
seemed,VERB,VERB
happy,ADJ,ADJ
with,ADP,ADP
their,DET,DET
meal,NOUN,NOUN
and,CONJ,CONJ
steaks,NOUN,NOUN
were,VERB,VERB
cooked,ADJ,ADJ
to,ADP,ADP
perfection,NOUN,NOUN
and,CONJ,CONJ
good,ADJ,ADJ
quality,NOUN,NOUN
.,PUNCT,PUNCT
r,NOUN,NOUN
n,NOUN,NOUN
r,NOUN,NOUN
nOverall,[],ADP
",",PUNCT,PUNCT
the,DET,DET
restaurant,NOUN,NOUN
could,VERB,VERB
improve,VERB,VERB
on,ADP,ADP
the,DET,DET
hospitality,NOUN,NOUN
side,NOUN,NOUN
",",PUNCT,PUNCT
groupon,[],NOUN
is,VERB,VERB
a,NOUN,NOUN
good,ADJ,ADJ
way,NOUN,NOUN
to,ADP,ADP
get,VERB,VERB
new,ADJ,ADJ
customers,NOUN,NOUN
through,ADP,ADP
the,DET,DET
door,NOUN,NOUN
and,CONJ,CONJ
they,PRON,PRON
could,VERB,VERB
have,VERB,VERB
been,VERB,VERB
more,ADV,ADV
welcoming,ADJ,ADJ
and,CONJ,CONJ
more,ADV,ADV
hospitable,ADJ,ADJ
.,PUNCT,PUNCT
On,ADP,ADP
the,DET,DET
whole,ADV,ADV
the,DET,DET
waitress,NOUN,NOUN
did,VERB,VERB
a,NOUN,NOUN
good,ADJ,ADJ
job,NOUN,NOUN
",",PUNCT,PUNCT
it,PRON,PRON
became,VERB,VERB
busy,ADJ,ADJ
and,CONJ,CONJ
she,PRON,PRON
seemed,VERB,VERB
on,ADP,ADP
her,PRON,PRON
own,VERB,VERB
most,PRON,PRON
of,ADP,ADP
the,DET,DET
time,NOUN,NOUN
and,CONJ,CONJ
she,PRON,PRON
managed,VERB,VERB
but,CONJ,CONJ
it,PRON,PRON
did,VERB,VERB
not,ADV,ADV
give,VERB,VERB
her,PRON,PRON
time,NOUN,NOUN
to,ADP,ADP
show,VERB,VERB
any,PRON,PRON
real,ADJ,ADJ
service,NOUN,NOUN
.,PUNCT,PUNCT
If,CONJ,CONJ
you,PRON,PRON
dislike,VERB,VERB
crowds,NOUN,NOUN
this,PRON,PRON
is,VERB,VERB
absolutely,ADV,ADV
not,ADV,ADV
a,NOUN,NOUN
place,NOUN,NOUN
for,ADP,ADP
you,PRON,PRON
.,PUNCT,PUNCT
If,CONJ,CONJ
you,PRON,PRON
're,ADP,ADP
looking,ADV,ADV
to,ADP,ADP
relax,VERB,VERB
choose,VERB,VERB
another,PRON,PRON
location,NOUN,NOUN
.,PUNCT,PUNCT
However,ADV,ADV
if,CONJ,CONJ
you,PRON,PRON
are,VERB,VERB
looking,ADV,ADV
for,ADP,ADP
a,NOUN,NOUN
party,NOUN,NOUN
and,CONJ,CONJ
don,NOUN,NOUN
't,NOUN,NOUN
mind,VERB,VERB
spending,NOUN,NOUN
the,DET,DET
money,NOUN,NOUN
this,PRON,PRON
is,VERB,VERB
the,DET,DET
place,NOUN,NOUN
to,ADP,ADP
be,VERB,VERB
.,PUNCT,PUNCT
Be,VERB,VERB
prepared,ADJ,ADJ
for,ADP,ADP
an,DET,DET
extremely,ADV,ADV
busy,ADJ,ADJ
beach,NOUN,NOUN
",",PUNCT,PUNCT
tiny,ADJ,ADJ
hotels,NOUN,NOUN
with,ADP,ADP
only,ADV,ADV
valet,NOUN,NOUN
parking,NOUN,NOUN
and,CONJ,CONJ
30,NUM,NUM
drinks,NOUN,NOUN
.,PUNCT,PUNCT
The,DET,DET
hotel,NOUN,NOUN
is,VERB,VERB
amazing,ADJ,ADJ
.,PUNCT,PUNCT
Excellent,ADJ,ADJ
view,NOUN,NOUN
and,CONJ,CONJ
location,NOUN,NOUN
.,PUNCT,PUNCT
Definitely,ADV,ADV
if,CONJ,CONJ
come,VERB,VERB
back,VERB,VERB
to,ADP,ADP
Las,NOUN,NOUN
Vegas,NOUN,NOUN
I,PRON,PRON
will,VERB,VERB
stay,VERB,VERB
again,ADV,ADV
in,ADP,ADP
this,PRON,PRON
hotel,NOUN,NOUN
.,PUNCT,PUNCT
The,DET,DET
service,NOUN,NOUN
was,VERB,VERB
awesome,ADJ,ADJ
",",PUNCT,PUNCT
the,DET,DET
hotel,NOUN,NOUN
is,VERB,VERB
very,ADJ,ADJ
clean,ADJ,ADJ
and,CONJ,CONJ
it,PRON,PRON
looks,VERB,VERB
wonderful,ADJ,ADJ
at,ADP,ADP
night,NOUN,NOUN
.,PUNCT,PUNCT
We,PRON,PRON
went,VERB,VERB
to,ADP,ADP
eat,VERB,VERB
at,ADP,ADP
Mesa,NOUN,NOUN
Grill,VERB,VERB
recently,ADV,ADV
.,PUNCT,PUNCT
We,PRON,PRON
did,VERB,VERB
not,ADV,ADV
have,VERB,VERB
reservations,NOUN,NOUN
but,CONJ,CONJ
they,PRON,PRON
got,[],VERB
us,PRON,PRON
a,NOUN,NOUN
table,NOUN,NOUN
and,CONJ,CONJ
did,VERB,VERB
not,ADV,ADV
have,VERB,VERB
to,ADP,ADP
wait,VERB,VERB
long,ADJ,ADJ
for,ADP,ADP
a,NOUN,NOUN
table,NOUN,NOUN
.,PUNCT,PUNCT
I,PRON,PRON
had,VERB,VERB
the,DET,DET
scallops,NOUN,NOUN
for,ADP,ADP
dinner,NOUN,NOUN
",",PUNCT,PUNCT
and,CONJ,CONJ
it,PRON,PRON
surpassed,VERB,VERB
all,PRON,PRON
of,ADP,ADP
my,DET,DET
expectations,NOUN,NOUN
.,PUNCT,PUNCT
They,PRON,PRON
were,VERB,VERB
cooked,ADJ,ADJ
and,CONJ,CONJ
seasoned,ADJ,ADJ
perfectly,ADV,ADV
.,PUNCT,PUNCT
Even,ADJ,ADJ
though,CONJ,CONJ
our,DET,DET
food,NOUN,NOUN
was,VERB,VERB
outstanding,ADJ,ADJ
",",PUNCT,PUNCT
the,DET,DET
service,NOUN,NOUN
we,PRON,PRON
received,ADJ,ADJ
from,ADP,ADP
out,ADV,ADV
waitress,NOUN,NOUN
was,VERB,VERB
beyond,ADP,ADP
exceptional,ADJ,ADJ
.,PUNCT,PUNCT
I,PRON,PRON
can,VERB,VERB
't,NOUN,NOUN
remember,VERB,VERB
her,PRON,PRON
name,VERB,VERB
",",PUNCT,PUNCT
all,PRON,PRON
I,PRON,PRON
remember,VERB,VERB
is,VERB,VERB
that,PRON,PRON
she,PRON,PRON
has,VERB,VERB
been,VERB,VERB
working,ADJ,ADJ
there,ADV,ADV
9,NUM,NUM
years,NOUN,NOUN
",",PUNCT,PUNCT
went,VERB,VERB
above,ADV,ADV
and,CONJ,CONJ
beyond,ADP,ADP
what,PRON,PRON
you,PRON,PRON
would,VERB,VERB
normally,ADV,ADV
expect,VERB,VERB
from,ADP,ADP
a,NOUN,NOUN
waitress,NOUN,NOUN
.,PUNCT,PUNCT
She,PRON,PRON
was,VERB,VERB
extremely,ADV,ADV
knowledgeable,ADJ,ADJ
about,ADV,ADV
the,DET,DET
food,NOUN,NOUN
that,PRON,PRON
we,PRON,PRON
were,VERB,VERB
about,ADV,ADV
to,ADP,ADP
eat,VERB,VERB
.,PUNCT,PUNCT
I,PRON,PRON
have,VERB,VERB
nothing,PRON,PRON
but,CONJ,CONJ
amazement,NOUN,NOUN
for,ADP,ADP
our,DET,DET
waitress,NOUN,NOUN
.,PUNCT,PUNCT
Overall,ADV,ADV
",",PUNCT,PUNCT
I,PRON,PRON
would,VERB,VERB
completely,ADV,ADV
recommend,VERB,VERB
Mesa,NOUN,NOUN
Grill,VERB,VERB
to,ADP,ADP
anyone,PRON,PRON
who,PRON,PRON
was,VERB,VERB
looking,ADV,ADV
for,ADP,ADP
a,NOUN,NOUN
great,ADJ,ADJ
meal,NOUN,NOUN
with,ADP,ADP
great,ADJ,ADJ
service,NOUN,NOUN
.,PUNCT,PUNCT
My,DET,DET
wife,NOUN,NOUN
and,CONJ,CONJ
I,PRON,PRON
have,VERB,VERB
stayed,VERB,VERB
at,ADP,ADP
the,DET,DET
Bellagio,[],NOUN
six,NUM,NUM
times,ADP,ADP
over,ADP,ADP
last,ADJ,ADJ
six,NUM,NUM
years,NOUN,NOUN
.,PUNCT,PUNCT
After,ADP,ADP
the,DET,DET
first,NOUN,NOUN
visit,VERB,VERB
",",PUNCT,PUNCT
and,CONJ,CONJ
having,[],VERB
everything,PRON,PRON
we,PRON,PRON
wanted,ADJ,ADJ
or,CONJ,CONJ
needed,ADJ,ADJ
",",PUNCT,PUNCT
saw,NOUN,NOUN
no,ADV,ADV
reason,NOUN,NOUN
to,ADP,ADP
change,VERB,VERB
.,PUNCT,PUNCT
It,PRON,PRON
really,ADV,ADV
is,VERB,VERB
a,NOUN,NOUN
classy,ADJ,ADJ
environment,NOUN,NOUN
",",PUNCT,PUNCT
and,CONJ,CONJ
easy,ADJ,ADJ
to,ADP,ADP
get,VERB,VERB
around,ADV,ADV
",",PUNCT,PUNCT
and,CONJ,CONJ
has,VERB,VERB
plenty,NOUN,NOUN
of,ADP,ADP
great,ADJ,ADJ
restaurants,NOUN,NOUN
and,CONJ,CONJ
bars,NOUN,NOUN
.,PUNCT,PUNCT
We,PRON,PRON
enjoy,VERB,VERB
sitting,NOUN,NOUN
in,ADP,ADP
the,DET,DET
Baccarat,[],NOUN
bar,NOUN,NOUN
",",PUNCT,PUNCT
listening,VERB,VERB
to,ADP,ADP
the,DET,DET
piano,NOUN,NOUN
player,NOUN,NOUN
",",PUNCT,PUNCT
sipping,[],VERB
our,DET,DET
Mojito,NOUN,NOUN
's,NOUN,NOUN
",",PUNCT,PUNCT
and,CONJ,CONJ
people,NOUN,NOUN
watching,VERB,VERB
.,PUNCT,PUNCT
",",PUNCT,PUNCT
what,PRON,PRON
a,NOUN,NOUN
life,NOUN,NOUN
.,PUNCT,PUNCT
Yes,ADV,ADV
is,VERB,VERB
expensive,ADJ,ADJ
",",PUNCT,PUNCT
but,CONJ,CONJ
what,PRON,PRON
isn,VERB,VERB
't,NOUN,NOUN
anymore,ADV,ADV
in,ADP,ADP
Vegas,NOUN,NOUN
",",PUNCT,PUNCT
and,CONJ,CONJ
you,PRON,PRON
do,VERB,VERB
get,VERB,VERB
what,PRON,PRON
you,PRON,PRON
pay,VERB,VERB
for,ADP,ADP
.,PUNCT,PUNCT
Have,VERB,VERB
been,VERB,VERB
to,ADP,ADP
most,PRON,PRON
other,ADJ,ADJ
casino,NOUN,NOUN
's,NOUN,NOUN
and,CONJ,CONJ
quite,ADV,ADV
a,NOUN,NOUN
few,PRON,PRON
are,VERB,VERB
showing,NOUN,NOUN
their,DET,DET
age,NOUN,NOUN
",",PUNCT,PUNCT
but,CONJ,CONJ
not,ADV,ADV
Bellagio,[],NOUN
.,PUNCT,PUNCT
We,PRON,PRON
have,VERB,VERB
stayed,VERB,VERB
in,ADP,ADP
Premier,ADJ,ADJ
Fountain,NOUN,NOUN
View,NOUN,NOUN
rooms,NOUN,NOUN
the,DET,DET
last,ADJ,ADJ
few,PRON,PRON
years,NOUN,NOUN
",",PUNCT,PUNCT
and,CONJ,CONJ
really,ADV,ADV
enjoy,VERB,VERB
the,DET,DET
view,NOUN,NOUN
of,ADP,ADP
the,DET,DET
fountains,NOUN,NOUN
and,CONJ,CONJ
the,DET,DET
strip,VERB,VERB
from,ADP,ADP
there,ADV,ADV
",",PUNCT,PUNCT
especially,ADV,ADV
at,ADP,ADP
night,NOUN,NOUN
.,PUNCT,PUNCT
There,ADV,ADV
was,VERB,VERB
a,NOUN,NOUN
main,NOUN,NOUN
tower,NOUN,NOUN
renovation,NOUN,NOUN
about,ADV,ADV
five,NUM,NUM
years,NOUN,NOUN
ago,ADV,ADV
",",PUNCT,PUNCT
so,ADV,ADV
all,PRON,PRON
those,DET,DET
rooms,NOUN,NOUN
are,VERB,VERB
just,ADV,ADV
fine,ADJ,ADJ
",",PUNCT,PUNCT
and,CONJ,CONJ
still,ADV,ADV
clean,ADJ,ADJ
and,CONJ,CONJ
looking,ADV,ADV
good,ADJ,ADJ
so,ADV,ADV
far,ADV,ADV
.,PUNCT,PUNCT
Also,ADV,ADV
has,VERB,VERB
a,NOUN,NOUN
tram,NOUN,NOUN
at,ADP,ADP
south,ADJ,ADJ
end,NOUN,NOUN
which,PRON,PRON
takes,VERB,VERB
you,PRON,PRON
through,ADP,ADP
to,ADP,ADP
Monte,[],NOUN
Carlo,[],NOUN
",",PUNCT,PUNCT
and,CONJ,CONJ
that,PRON,PRON
is,VERB,VERB
very,ADJ,ADJ
convenient,ADJ,ADJ
.,PUNCT,PUNCT
Will,VERB,VERB
be,VERB,VERB
continuing,VERB,VERB
our,DET,DET
annual,NOUN,NOUN
pilgrimage,NOUN,NOUN
to,ADP,ADP
Vegas,NOUN,NOUN
in,ADP,ADP
the,DET,DET
future,NOUN,NOUN
",",PUNCT,PUNCT
and,CONJ,CONJ
really,ADV,ADV
not,ADV,ADV
considering,ADP,ADP
another,PRON,PRON
hotel,NOUN,NOUN
.,PUNCT,PUNCT
We,PRON,PRON
ate,VERB,VERB
here,ADV,ADV
a,NOUN,NOUN
few,PRON,PRON
times,ADP,ADP
during,ADP,ADP
our,DET,DET
stay,VERB,VERB
at,ADP,ADP
the,DET,DET
Bellagio,[],NOUN
",",PUNCT,PUNCT
and,CONJ,CONJ
were,VERB,VERB
quite,ADV,ADV
satisfied,ADJ,ADJ
with,ADP,ADP
the,DET,DET
variety,NOUN,NOUN
and,CONJ,CONJ
quality,NOUN,NOUN
of,ADP,ADP
the,DET,DET
food,NOUN,NOUN
here,ADV,ADV
.,PUNCT,PUNCT
I,PRON,PRON
would,VERB,VERB
recommend,VERB,VERB
though,CONJ,CONJ
to,ADP,ADP
come,VERB,VERB
in,ADP,ADP
between,ADP,ADP
the,DET,DET
peak,NOUN,NOUN
dining,VERB,VERB
times,ADP,ADP
",",PUNCT,PUNCT
to,ADP,ADP
avoid,VERB,VERB
the,DET,DET
massive,ADJ,ADJ
breakfast,NOUN,NOUN
lunch,NOUN,NOUN
dinner,NOUN,NOUN
queues,NOUN,NOUN
.,PUNCT,PUNCT
Currently,ADV,ADV
in,ADP,ADP
my,DET,DET
second,NOUN,NOUN
stay,VERB,VERB
at,ADP,ADP
Signature,NOUN,NOUN
they,PRON,PRON
upgraded,VERB,VERB
me,NOUN,NOUN
to,ADP,ADP
the,DET,DET
penthouse,NOUN,NOUN
floor,NOUN,NOUN
",",PUNCT,PUNCT
and,CONJ,CONJ
my,DET,DET
huge,ADJ,ADJ
room,NOUN,NOUN
is,VERB,VERB
lovely,ADJ,ADJ
.,PUNCT,PUNCT
Its,DET,DET
much,ADV,ADV
quieter,ADJ,ADJ
than,ADP,ADP
the,DET,DET
MGM,[],NOUN
",",PUNCT,PUNCT
with,ADP,ADP
all,PRON,PRON
the,DET,DET
benefits,NOUN,NOUN
of,ADP,ADP
staying,VERB,VERB
there,ADV,ADV
",",PUNCT,PUNCT
like,ADP,ADP
easy,ADJ,ADJ
access,NOUN,NOUN
to,ADP,ADP
the,DET,DET
monorail,NOUN,NOUN
",",PUNCT,PUNCT
craftsteak,[],NOUN
and,CONJ,CONJ
wet,NOUN,NOUN
republic,NOUN,NOUN
.,PUNCT,PUNCT
n,NOUN,NOUN
nRooms,[],NOUN
are,VERB,VERB
huge,ADJ,ADJ
",",PUNCT,PUNCT
the,DET,DET
whole,ADV,ADV
vibe,NOUN,NOUN
is,VERB,VERB
much,ADV,ADV
more,ADV,ADV
relaxed,ADJ,ADJ
and,CONJ,CONJ
polished,ADJ,ADJ
",",PUNCT,PUNCT
and,CONJ,CONJ
I,PRON,PRON
love,VERB,VERB
the,DET,DET
indoor,ADJ,ADJ
",",PUNCT,PUNCT
air,NOUN,NOUN
conditioned,VERB,VERB
walkway,NOUN,NOUN
over,ADP,ADP
to,ADP,ADP
the,DET,DET
mgm,[],NOUN
.,PUNCT,PUNCT
n,NOUN,NOUN
nThe,[],NOUN
only,ADV,ADV
problem,NOUN,NOUN
issue,NOUN,NOUN
is,VERB,VERB
getting,[],VERB
a,NOUN,NOUN
cab,NOUN,NOUN
unless,CONJ,CONJ
you,PRON,PRON
are,VERB,VERB
lucky,ADJ,ADJ
and,CONJ,CONJ
someone,PRON,PRON
is,VERB,VERB
getting,[],VERB
dropped,[],VERB
off,ADV,ADV
at,ADP,ADP
signature,NOUN,NOUN
",",PUNCT,PUNCT
you,PRON,PRON
're,ADP,ADP
going,NOUN,NOUN
to,ADP,ADP
have,VERB,VERB
to,ADP,ADP
walk,VERB,VERB
to,ADP,ADP
mgm,[],NOUN
and,CONJ,CONJ
get,VERB,VERB
in,ADP,ADP
their,DET,DET
massive,ADJ,ADJ
cab,NOUN,NOUN
line,NOUN,NOUN
.,PUNCT,PUNCT
I,PRON,PRON
have,VERB,VERB
stayed,VERB,VERB
in,ADP,ADP
alot,[],ADJ
of,ADP,ADP
hotels,NOUN,NOUN
over,ADP,ADP
the,DET,DET
years,NOUN,NOUN
for,ADP,ADP
business,NOUN,NOUN
trips,NOUN,NOUN
and,CONJ,CONJ
this,PRON,PRON
one,NUM,NUM
was,VERB,VERB
a,NOUN,NOUN
very,ADJ,ADJ
pleasant,ADJ,ADJ
surprise,NOUN,NOUN
.,PUNCT,PUNCT
The,DET,DET
suite,NOUN,NOUN
I,PRON,PRON
had,VERB,VERB
was,VERB,VERB
gorgeous,ADJ,ADJ
and,CONJ,CONJ
spotless,ADJ,ADJ
.,PUNCT,PUNCT
I,PRON,PRON
wish,VERB,VERB
I,PRON,PRON
could,VERB,VERB
have,VERB,VERB
brought,VERB,VERB
the,DET,DET
bathroom,NOUN,NOUN
home,NOUN,NOUN
with,ADP,ADP
me,NOUN,NOUN
.,PUNCT,PUNCT
The,DET,DET
separate,VERB,VERB
vanity,NOUN,NOUN
and,CONJ,CONJ
makeup,NOUN,NOUN
mirror,NOUN,NOUN
was,VERB,VERB
a,NOUN,NOUN
nice,ADJ,ADJ
touch,NOUN,NOUN
.,PUNCT,PUNCT
r,NOUN,NOUN
nEveryone,[],PRON
I,PRON,PRON
encountered,VERB,VERB
in,ADP,ADP
the,DET,DET
Hotel,NOUN,NOUN
",",PUNCT,PUNCT
Conference,NOUN,NOUN
Centre,NOUN,NOUN
",",PUNCT,PUNCT
Mall,NOUN,NOUN
",",PUNCT,PUNCT
and,CONJ,CONJ
Restaurant,NOUN,NOUN
were,VERB,VERB
very,ADJ,ADJ
polite,ADJ,ADJ
and,CONJ,CONJ
went,VERB,VERB
out,ADV,ADV
of,ADP,ADP
their,DET,DET
way,NOUN,NOUN
to,ADP,ADP
satisfy,VERB,VERB
their,DET,DET
customers,NOUN,NOUN
",",PUNCT,PUNCT
me,NOUN,NOUN
included,VERB,VERB
.,PUNCT,PUNCT
I,PRON,PRON
plan,NOUN,NOUN
to,ADP,ADP
come,VERB,VERB
back,VERB,VERB
to,ADP,ADP
this,PRON,PRON
hotel,NOUN,NOUN
for,ADP,ADP
a,NOUN,NOUN
vacation,NOUN,NOUN
with,ADP,ADP
my,DET,DET
husband,NOUN,NOUN
.,PUNCT,PUNCT
The,DET,DET
strip,VERB,VERB
has,VERB,VERB
lots,NOUN,NOUN
to,ADP,ADP
offer,VERB,VERB
.,PUNCT,PUNCT
There,ADV,ADV
is,VERB,VERB
every,DET,DET
kind,NOUN,NOUN
of,ADP,ADP
restaurant,NOUN,NOUN
you,PRON,PRON
can,VERB,VERB
imagine,VERB,VERB
.,PUNCT,PUNCT
There,ADV,ADV
are,VERB,VERB
casinos,NOUN,NOUN
",",PUNCT,PUNCT
side,NOUN,NOUN
by,ADP,ADP
side,NOUN,NOUN
if,CONJ,CONJ
you,PRON,PRON
like,ADP,ADP
that,PRON,PRON
kind,NOUN,NOUN
of,ADP,ADP
thing,NOUN,NOUN
.,PUNCT,PUNCT
I,PRON,PRON
don,NOUN,NOUN
't,NOUN,NOUN
.,PUNCT,PUNCT
However,ADV,ADV
I,PRON,PRON
enjoyed,VERB,VERB
the,DET,DET
restaurants,NOUN,NOUN
and,CONJ,CONJ
gift,NOUN,NOUN
shops,NOUN,NOUN
.,PUNCT,PUNCT
The,DET,DET
lights,ADJ,ADJ
were,VERB,VERB
pretty,ADV,ADV
at,ADP,ADP
night,NOUN,NOUN
.,PUNCT,PUNCT
It,PRON,PRON
was,VERB,VERB
crowded,ADJ,ADJ
for,ADP,ADP
a,NOUN,NOUN
week,NOUN,NOUN
night,NOUN,NOUN
.,PUNCT,PUNCT
There,ADV,ADV
were,VERB,VERB
some,ADV,ADV
people,NOUN,NOUN
that,PRON,PRON
were,VERB,VERB
dressed,ADJ,ADJ
inappropriately,ADJ,ADJ
for,ADP,ADP
a,NOUN,NOUN
public,ADJ,ADJ
place,NOUN,NOUN
.,PUNCT,PUNCT
There,ADV,ADV
were,VERB,VERB
a,NOUN,NOUN
lot,NOUN,NOUN
of,ADP,ADP
homeless,NOUN,NOUN
",",PUNCT,PUNCT
young,ADJ,ADJ
people,NOUN,NOUN
sitting,NOUN,NOUN
along,ADP,ADP
the,DET,DET
sidewalks,NOUN,NOUN
.,PUNCT,PUNCT
Would,VERB,VERB
not,ADV,ADV
recommend,VERB,VERB
the,DET,DET
strip,VERB,VERB
for,ADP,ADP
families,NOUN,NOUN
with,ADP,ADP
children,NOUN,NOUN
at,ADP,ADP
all,PRON,PRON
.,PUNCT,PUNCT
I,PRON,PRON
'm,NOUN,NOUN
writing,NOUN,NOUN
this,PRON,PRON
review,VERB,VERB
while,CONJ,CONJ
staying,VERB,VERB
at,ADP,ADP
Ballys,[],NOUN
.,PUNCT,PUNCT
This,PRON,PRON
has,VERB,VERB
been,VERB,VERB
our,DET,DET
third,NOUN,NOUN
time,NOUN,NOUN
here,ADV,ADV
.,PUNCT,PUNCT
Yes,ADV,ADV
",",PUNCT,PUNCT
there,ADV,ADV
are,VERB,VERB
two,NUM,NUM
towers,NOUN,NOUN
and,CONJ,CONJ
the,DET,DET
south,ADJ,ADJ
tower,NOUN,NOUN
is,VERB,VERB
the,DET,DET
renovated,VERB,VERB
one,NUM,NUM
.,PUNCT,PUNCT
Unfortunately,ADV,ADV
this,PRON,PRON
tower,NOUN,NOUN
is,VERB,VERB
more,ADV,ADV
convenient,ADJ,ADJ
to,ADP,ADP
the,DET,DET
meeting,NOUN,NOUN
rooms,NOUN,NOUN
and,CONJ,CONJ
they,PRON,PRON
also,ADV,ADV
face,NOUN,NOUN
