Token,BrownTag,GroundTruth
The,DET,DET
Times,ADP,ADP
of,ADP,ADP
India,NOUN,NOUN
The,DET,DET
wonder,VERB,VERB
that,PRON,PRON
is,VERB,VERB
India's,[],NOUN
election,NOUN,NOUN
.,PUNCT,PUNCT
Ahh,[],ADP
.,PUNCT,PUNCT
got,[],VERB
rid,ADJ,ADJ
of,ADP,ADP
stupid,ADJ,ADJ
time,NOUN,NOUN
warner,[],VERB
today,ADV,ADV
amp,NOUN,NOUN
;,PUNCT,PUNCT
now,ADV,ADV
taking,ADJ,ADJ
a,NOUN,NOUN
nap,NOUN,NOUN
while,CONJ,CONJ
the,DET,DET
roomies,NOUN,NOUN
cook,VERB,VERB
for,ADP,ADP
me,NOUN,NOUN
.,PUNCT,PUNCT
Pretty,ADV,ADV
good,ADJ,ADJ
end,NOUN,NOUN
for,ADP,ADP
a,NOUN,NOUN
monday,NOUN,NOUN
erickoston,[],NOUN
That,PRON,PRON
looks,VERB,VERB
an,DET,DET
awful,ADJ,ADJ
lot,NOUN,NOUN
like,ADP,ADP
one,NUM,NUM
of,ADP,ADP
Nike's,[],NOUN
private,ADJ,ADJ
jets,NOUN,NOUN
.,PUNCT,PUNCT
I'm,VERB,VERB
just,ADV,ADV
sayin,[],VERB
.,PUNCT,PUNCT
Shit's,[],NOUN
hitting,[],VERB
the,DET,DET
fan,NOUN,NOUN
in,ADP,ADP
Iran,NOUN,NOUN
.,PUNCT,PUNCT
craziness,ADJ,ADJ
indeed,ADV,ADV
iranelection,[],NOUN
is,VERB,VERB
going,NOUN,NOUN
to,ADP,ADP
sleep,NOUN,NOUN
then,ADV,ADV
on,ADP,ADP
a,NOUN,NOUN
bike,NOUN,NOUN
ride,VERB,VERB
Night,NOUN,NOUN
at,ADP,ADP
the,DET,DET
Museum,NOUN,NOUN
",",PUNCT,PUNCT
Wolverine,NOUN,NOUN
and,CONJ,CONJ
junk,NOUN,NOUN
food,NOUN,NOUN
perfect,ADJ,ADJ
monday,NOUN,NOUN
.,PUNCT,PUNCT
kirstiealley,[],NOUN
my,DET,DET
dentist,NOUN,NOUN
is,VERB,VERB
great,ADJ,ADJ
but,CONJ,CONJ
she's,[],PRON
expensive,ADJ,ADJ
.,PUNCT,PUNCT
Missed,VERB,VERB
this,PRON,PRON
insight,NOUN,NOUN
May,VERB,VERB
column,NOUN,NOUN
One,NUM,NUM
smart,ADJ,ADJ
guy,NOUN,NOUN
looking,ADV,ADV
closely,ADV,ADV
at,ADP,ADP
why,ADV,ADV
he's,[],PRON
impressed,VERB,VERB
with,ADP,ADP
Kindle2,[],NOUN
wroush,[],VERB
Back,VERB,VERB
when,CONJ,CONJ
I,PRON,PRON
worked,VERB,VERB
for,ADP,ADP
Nike,NOUN,NOUN
we,PRON,PRON
had,VERB,VERB
one,NUM,NUM
fav,NOUN,NOUN
word,NOUN,NOUN
JUST,ADV,ADV
DO,VERB,VERB
IT,PRON,PRON
.,PUNCT,PUNCT
HATE,VERB,VERB
safeway,[],NOUN
select,VERB,VERB
green,ADJ,ADJ
tea,NOUN,NOUN
icecream,[],NOUN
.,PUNCT,PUNCT
bought,VERB,VERB
two,NUM,NUM
cartons,NOUN,NOUN
",",PUNCT,PUNCT
what,PRON,PRON
a,NOUN,NOUN
waste,NOUN,NOUN
of,ADP,ADP
money,NOUN,NOUN
.,PUNCT,PUNCT
gt,NOUN,NOUN
;,PUNCT,PUNCT
_,PUNCT,PUNCT
lt,NOUN,NOUN
;,PUNCT,PUNCT
Why,ADV,ADV
the,DET,DET
hell,NOUN,NOUN
is,VERB,VERB
Pelosi,[],NOUN
in,ADP,ADP
freakin,[],NOUN
China,NOUN,NOUN
.,PUNCT,PUNCT
and,CONJ,CONJ
on,ADP,ADP
whose,PRON,PRON
dime,NOUN,NOUN
.,PUNCT,PUNCT
mattcutts,[],NOUN
have,VERB,VERB
google,NOUN,NOUN
profiles,NOUN,NOUN
stopped,[],VERB
showing,NOUN,NOUN
up,ADV,ADV
in,ADP,ADP
searches,VERB,VERB
.,PUNCT,PUNCT
cant,NOUN,NOUN
see,VERB,VERB
them,PRON,PRON
anymore,ADV,ADV
Star,NOUN,NOUN
Trek,VERB,VERB
was,VERB,VERB
as,CONJ,CONJ
good,ADJ,ADJ
as,CONJ,CONJ
everyone,PRON,PRON
said,VERB,VERB
.,PUNCT,PUNCT
uscsports21,[],NOUN
LeBron,[],NOUN
is,VERB,VERB
a,NOUN,NOUN
monsta,[],NOUN
and,CONJ,CONJ
he,PRON,PRON
is,VERB,VERB
only,ADV,ADV
24,NUM,NUM
.,PUNCT,PUNCT
SMH,[],NOUN
The,DET,DET
world,NOUN,NOUN
ain't,[],VERB
ready,ADJ,ADJ
.,PUNCT,PUNCT
After,ADP,ADP
using,[],VERB
LaTeX,NOUN,NOUN
a,NOUN,NOUN
lot,NOUN,NOUN
",",PUNCT,PUNCT
any,PRON,PRON
other,ADJ,ADJ
typeset,VERB,VERB
mathematics,NOUN,NOUN
just,ADV,ADV
looks,VERB,VERB
hideous,ADJ,ADJ
.,PUNCT,PUNCT
According,VERB,VERB
to,ADP,ADP
the,DET,DET
create,VERB,VERB
a,NOUN,NOUN
school,NOUN,NOUN
",",PUNCT,PUNCT
Notre,[],NOUN
Dame,NOUN,NOUN
will,VERB,VERB
have,VERB,VERB
7,NUM,NUM
receivers,NOUN,NOUN
in,ADP,ADP
NCAA,[],NOUN
10,NUM,NUM
at,ADP,ADP
84,NUM,NUM
or,CONJ,CONJ
higher,ADJ,ADJ
rating,NOUN,NOUN
sweet,ADJ,ADJ
LAKERS,[],NOUN
tonight,NOUN,NOUN
let's,VERB,VERB
go,VERB,VERB
.,PUNCT,PUNCT
Fuzzball,[],NOUN
is,VERB,VERB
more,ADV,ADV
fun,NOUN,NOUN
than,ADP,ADP
AT,ADP,ADP
amp,NOUN,NOUN
;,PUNCT,PUNCT
T,NOUN,NOUN
;,PUNCT,PUNCT
P,NOUN,NOUN
Learning,NOUN,NOUN
about,ADV,ADV
lambda,NOUN,NOUN
calculus,NOUN,NOUN
wth,[],CONJ
.,PUNCT,PUNCT
i,PRON,PRON
have,VERB,VERB
never,ADV,ADV
seen,VERB,VERB
a,NOUN,NOUN
line,NOUN,NOUN
this,PRON,PRON
loooong,[],ADJ
at,ADP,ADP
time,NOUN,NOUN
warner,[],VERB
before,ADP,ADP
",",PUNCT,PUNCT
.,PUNCT,PUNCT
Having,[],VERB
the,DET,DET
old,ADJ,ADJ
Coca,NOUN,NOUN
Cola,NOUN,NOUN
guy,NOUN,NOUN
on,ADP,ADP
the,DET,DET
GM,NOUN,NOUN
board,NOUN,NOUN
is,VERB,VERB
stupid,ADJ,ADJ
has,VERB,VERB
.,PUNCT,PUNCT
tcot,[],NOUN
ala,[],NOUN
Just,ADV,ADV
got,[],VERB
my,DET,DET
new,ADJ,ADJ
toy,NOUN,NOUN
.,PUNCT,PUNCT
Canon,NOUN,NOUN
50D,[],NUM
.,PUNCT,PUNCT
Love,VERB,VERB
love,VERB,VERB
love,VERB,VERB
it,PRON,PRON
.,PUNCT,PUNCT
testing,NOUN,NOUN
Twitter,VERB,VERB
API,NOUN,NOUN
yahoo,NOUN,NOUN
answers,NOUN,NOUN
can,VERB,VERB
be,VERB,VERB
a,NOUN,NOUN
butt,NOUN,NOUN
sometimes,ADV,ADV
my,DET,DET
exam,NOUN,NOUN
went,VERB,VERB
good,ADJ,ADJ
.,PUNCT,PUNCT
HelloLeonie,[],NOUN
your,DET,DET
prayers,NOUN,NOUN
worked,VERB,VERB
